NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N,HasSafetyRec,ReportType,OriginalPublishDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,ReportStatus,RepGenFlag,DocketUrl,DocketPublishDate,Unnamed: 37
GAA19CA001,ACC,98396,2018-10-01 03:30:00+00:00,Keokuk,Iowa,United States,,N89AM,False,DirectorBrief,2019-06-05T04:00:00Z,,0,0,0,"The pilot's failure to correctly identify the runway environment during an instrument approach at night in instrument meteorological conditions because he mistook building lights for runway lights, which resulted in landing short of the runway.",,40.459999,-91.452224,Cessna,340,AIR,EOK,Keokuk Muni,FALSE,2,,EXEC,091,Substantial,IMC,Windy Point Aviation Llc,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98396,3/11/2019 12:31:00 PM,
ERA18LA269,ACC,98383,2018-09-30 17:35:00+00:00,Westminster,Maryland,United States,,N440SH,False,DirectorBrief,2020-04-13T04:00:00Z,,0,0,0,"The pilot's attempt to move the helicopter from a sloped surface after an overspeed event, which resulted in a loss of helicopter control and impact with a car. The overspeed event resulted from misrouted and damaged wiring in the magneto, which subsequently resulted in errant and random signals to the governor.",,39.571388,-76.989723,Robinson,R44,HELI,NONE,Parking Garage,FALSE,1,,POSI,091,Substantial,VMC,Charm City Helicopters,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98383,10/27/2020 2:00:00 PM,
GAA18CA580,ACC,98442,2018-09-30 16:21:00+00:00,Van Nuys,California,United States,,N400JW,False,DirectorBrief,2019-09-26T04:00:00Z,,0,0,0,The pilot's failure to maintain directional control of the airplane during landing.,,34.20972,-118.489997,Piper,PA28,AIR,VNY,VAN NUYS,FALSE,1,,PERS,091,Substantial,VMC,Airfleet Holdings Llc.,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98442,6/26/2019 11:49:00 AM,
ERA18TA266,ACC,98380,2018-09-30 14:20:00+00:00,Somerset,Pennsylvania,United States,,N4001F,False,DirectorBrief,2020-02-11T05:00:00Z,,0,0,0,"The pilot's decision to land with insufficient runway remaining to stop, which resulted in a runway overrun.",,40.034442,-79.023887,Cessna,172,AIR,2G9,Somerset County,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98380,10/15/2019 11:46:00 AM,
ANC18LA080,ACC,98426,2018-09-30 13:30:00+00:00,Delta Junction,Alaska,United States,,N5907Y,False,DirectorBrief,2020-06-29T04:00:00Z,,0,0,0,"The total loss of engine power due to carburetor icing, which resulted from the pilot's failure to use carburetor heat while operating at low power settings in conditions conducive to the formation of carburetor ice.",,64.610557,-144.616943,Piper,PA18,AIR,,,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98426,3/18/2020 4:04:00 PM,
CEN18LA392,ACC,98376,2018-09-30 11:21:00+00:00,Addison,Texas,United States,,N818GM,False,DirectorBrief,2020-04-13T04:00:00Z,,0,0,0,"Maintenance personnel’s improper installation of the muffler attachment hardware, which resulted in the muffler separating in flight, thermal damage that interrupted the magnetos’ function, and the subsequent total loss of engine power.",,32.896945,-96.834167,Cirrus,SR22,AIR,,,FALSE,1,,INST,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98376,9/14/2022 4:00:00 AM,
WPR18LA278,ACC,98371,2018-09-30 08:44:00+00:00,Kernville,California,United States,,N9471H,False,DirectorBrief,2021-08-24T04:00:00Z,,0,0,0,A total loss of engine power during initial climb due to fuel starvation.,,35.723609,-118.418609,Howard,DGA 15P,AIR,L05,Kern Valley,FALSE,1,,PERS,091,Destroyed,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98371,7/15/2021 11:00:00 AM,
WPR18FA276,ACC,98369,2018-09-30 08:37:00+00:00,Silver City,Idaho,United States,,N732MV,False,DirectorBrief,2021-05-05T04:00:00Z,Fatal,3,0,0,"The pilot's failure to maintain adequate airspeed and his exceedance of the airplane’s critical angle of attack while making a turn in gusting wind conditions while flying through hilly terrain, which resulted in an aerodynamic stall.",,43.075279,-116.77111,Cessna,T210,AIR,,,FALSE,,,PERS,091,Destroyed,VMC,T And C Aircraft Corporation,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98369,1/7/2021 1:00:00 PM,
DCA18WA298,INC,98423,2018-09-29 22:00:00+00:00,Sydney,,Australia,,VH-VFX,False,,,,0,0,0,,,0.0,0.0,AIRBUS,A320,AIR,,,FALSE,,SCHD,,NUSC,,,Jetstar Airways,,False,,,
WPR18FA279,ACC,98372,2018-09-29 18:00:00+00:00,La Verne,California,United States,,N46321,False,DirectorBrief,2020-11-19T05:00:00Z,Fatal,1,1,0,"The pilot's failure to maintain adequate airspeed and the exceedance of the airplane's critical angle of attack during a turn, which resulted in an aerodynamic stall and subsequent loss of control. Contributing to the accident was an undetermined engine anomaly.",,34.093334,-117.791664,Cessna,177RG,AIR,KPOC,Brackett Field Airport,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98372,12/1/2020 5:00:00 AM,
GAA18CA574,ACC,98393,2018-09-29 15:30:00+00:00,Crewe,Virginia,United States,,N6148P,False,DirectorBrief,2019-04-08T04:00:00Z,,0,0,0,"The pilot’s failure to maintain adequate airspeed and his exceedance of the airplane’s critical angle of attack, which resulted in an aerodynamic stall. Contributing to the accident was the pilot’s improper fuel management, which resulted in fuel starvation and the subsequent total loss of engine power.",,37.183612,-78.101943,Piper,PA24,AIR,W81,CREWE MUNI,FALSE,1,,PERS,091,Substantial,VMC,,Completed,False,https://data.ntsb.gov/Docket?ProjectID=98393,12/17/2018 7:14:00 PM,
